Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality,Area_in_Gaj
0,3 BHK Builder Floor,2,Furnished,Bachelors/Family,1800 sqft,34000,bhagyalaxmi nagar kavadiguda,200.0
1,3 BHK Apartment,2,Semi-Furnished,Family,2500 sqft,45000,gachibowli outer ring road,277.77777777777777
3,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,2160 sqft,40000,moosapet nh,240.0
4,3 BHK Apartment,2,Semi-Furnished,Family,1580 sqft,23000,raghavendra colony kondapur,175.55555555555554
5,3 BHK Apartment,2,Furnished,Bachelors/Family,2600 sqft,50000,banjara darwaja golconda fort,288.8888888888889
6,3 BHK Service Apartment,1,Semi-Furnished,Bachelors/Family,1350 sqft,32000,mohans sai signature nanakramguda,150.0
8,3 BHK Apartment,2,Furnished,Bachelors/Family,1700 sqft,35000,somajiguda nh,188.88888888888889
9,3 BHK Service Apartment,1,Unfurnished,Family,1150 sqft,11000,kapra,127.77777777777777
10,3 BHK Apartment,2,Semi-Furnished,Family,1330 sqft,19000,tilak nagar new nallakunta nh,147.77777777777777
11,3 BHK Apartment,1,Unfurnished,Bachelors,1836 sqft,30000,neknampur manikonda outer ring road,204.0
12,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1540 sqft,18000,mayuri nagar miyapur,171.11111111111111
13,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1720 sqft,30000,accurate wind chimes narsingi outer ring road,191.11111111111111
14,3 BHK Apartment,2,Semi-Furnished,Family,1950 sqft,31000,hyder nagar nh,216.66666666666666
15,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2075 sqft,49000,vajras jasmine county financial district gucchibowli,230.55555555555554
16,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2500 sqft,38000,tirumala gardens banjara hills nh,277.77777777777777
17,2 BHK Apartment,3,Semi-Furnished,Family,1080 sqft,18000,paragon venkatadri apartments kachiguda nh,120.0
18,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,26000,meenakshi homes miyapur nh,166.66666666666666
19,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2150 sqft,25000,papulguda,238.88888888888889
20,2 BHK Apartment,1,Furnished,Bachelors/Family,1350 sqft,12000,bachupally outer ring road,150.0
21,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1198 sqft,34000,nanakram guda,133.11111111111111
22,3 BHK Apartment,1,Semi-Furnished,Family,2100 sqft,39000,lt serene county gachibowli outer ring road,233.33333333333334
23,3 BHK Builder Floor,1,Unfurnished,Bachelors/Family,1875 sqft,37000,sm plaza ecil,208.33333333333334
24,3 BHK Apartment,North,Unfurnished,Bachelors/Family,1200 sqft,13000,chatta bazaar pathar gatti,133.33333333333334
25,2 BHK Apartment,2,Semi-Furnished,Family,1296 sqft,35000,lodha meridian kukatpally housing board colony nh,144.0
26,2 BHK Builder Floor,Immediately,Furnished,Bachelors/Family,1100 sqft,45000,hitech city,122.22222222222223
27,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2000 sqft,38000,banjara hills nh,222.22222222222223
28,3 BHK Apartment,2,Furnished,Bachelors,2020 sqft,45000,gachibowli outer ring road,224.44444444444446
29,2 BHK Service Apartment,1,Furnished,Bachelors/Family,1200 sqft,35000,mehindipatnam,133.33333333333334
30,3 BHK Apartment,2,Unfurnished,Bachelors,1640 sqft,35000,ymca circle narayanguda,182.22222222222223
31,3 BHK Apartment,2,Unfurnished,Bachelors,1640 sqft,35000,ymca circle narayanguda,182.22222222222223
32,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1870 sqft,40000,vajras jasmine county gachibowli outer ring road,207.77777777777777
33,3 BHK Apartment,2,Semi-Furnished,Family,1600 sqft,25000,jubilee hills,177.77777777777777
34,3 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1650 sqft,25000,kondapur,183.33333333333334
36,2 BHK Apartment,2,Unfurnished,Bachelors,1260 sqft,19000,kondapur,140.0
37,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1920 sqft,35000,golf view gachibowli outer ring road,213.33333333333334
38,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1250 sqft,18000,devan devdi,138.88888888888889
39,3 BHK Apartment,2,Semi-Furnished,Bachelors,1818 sqft,40000,lodha casa paradiso sanath nagar nh,202.0
40,3 BHK Apartment,2,Semi-Furnished,Family,2130 sqft,24000,srila park pride kukatpally nh,236.66666666666666
41,3 BHK Builder Floor,1,Unfurnished,Family,1800 sqft,35000,gudi malkapur mehdipatnam,200.0
42,3 BHK Apartment,2,Furnished,Bachelors,1555 sqft,30000,bachupally outer ring road,172.77777777777777
44,2 BHK Apartment,2,Semi-Furnished,Family,1200 sqft,16000,kphb,133.33333333333334
45,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1600 sqft,20000,dullapally nh,177.77777777777777
46,2 BHK Apartment,2,Unfurnished,Bachelors,1296 sqft,12000,vsr celestial towers gajularamaram,144.0
47,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2072 sqft,28000,jeedimetla nh,230.22222222222223
48,3 BHK Apartment,3,Unfurnished,Bachelors/Family,1460 sqft,17000,vasanth nagar colony nizampet,162.22222222222223
49,3 BHK Apartment,West,Semi-Furnished,Bachelors,1900 sqft,45000,nallagandla serilingampally,211.11111111111111
50,2 BHK Apartment,1,Unfurnished,Bachelors/Family,950 sqft,15500,brindavan colonytoli chowki,105.55555555555556
51,2 BHK Apartment,1,Furnished,Bachelors/Family,1100 sqft,16000,west marredpally,122.22222222222223
52,2 BHK Apartment,1,Semi-Furnished,Family,1563 sqft,20000,pbel city appa junction,173.66666666666666
53,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1990 sqft,36000,aditya empress towers shaikpet,221.11111111111111
54,3 BHK Apartment,2,Unfurnished,Bachelors,2051 sqft,45000,prestige ivy league phase,227.88888888888889
56,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1260 sqft,20000,upparpally hyderabad expressway,140.0
57,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1075 sqft,15000,gangaram chandanagar nh,119.44444444444444
58,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2100 sqft,30000,srinivas nagar rhoda mistri nagar,233.33333333333334
59,3 BHK Apartment,2,Unfurnished,Bachelors,2000 sqft,35000,vasanth nagar colony nizampet,222.22222222222223
60,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1600 sqft,36000,madhapur,177.77777777777777
61,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1360 sqft,13000,annojiguda nh,151.11111111111111
62,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,2025 sqft,35000,neknampur manikonda outer ring road,225.0
63,3 BHK Apartment,3,Semi-Furnished,Family,1860 sqft,22000,ngri secunderabad,206.66666666666666
64,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,25000,chandanagar nh,166.66666666666666
65,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1160 sqft,30000,samatha nagar kukatpally nh,128.88888888888889
66,3 BHK Apartment,2,Unfurnished,Bachelors,1400 sqft,17500,bandlaguda jagir,155.55555555555554
67,3 BHK Apartment,1,Furnished,Bachelors/Family,1380 sqft,44000,jains carlton creek gachibowli outer ring road,153.33333333333334
68,3 BHK Apartment,North,Semi-Furnished,Bachelors/Family,1800 sqft,24000,kukatpally nh,200.0
69,3 BHK Apartment,2,Furnished,Bachelors/Family,2000 sqft,43000,aditya imperial heights hafeezpet nh,222.22222222222223
70,3 BHK Apartment,2,Furnished,Bachelors/Family,1800 sqft,35000,nallagandla serilingampally,200.0
71,3 BHK Apartment,1,Semi-Furnished,Family,1620 sqft,25000,gajularamaram,180.0
72,3 BHK Apartment,3,Semi-Furnished,Family,2200 sqft,25000,ramanthapur nh,244.44444444444446
73,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1810 sqft,30000,alind employees colony serilingampally,201.11111111111111
74,3 BHK Builder Floor,2,Semi-Furnished,Bachelors,1510 sqft,12000,ark homes bolarum medchal road,167.77777777777777
75,4 BHK Apartment,2,Semi-Furnished,Family,2800 sqft,50000,kokapet outer ring road,311.1111111111111
76,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1908 sqft,48000,smr vinay iconia kondapur,212.0
77,3 BHK Apartment,East,Semi-Furnished,Family,1705 sqft,30000,hitech city,189.44444444444446
78,2 BHK Apartment,West,Unfurnished,Bachelors/Family,900 sqft,19000,papulguda,100.0
79,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1690 sqft,38000,my home vihanga gachibowli outer ring road,187.77777777777777
80,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1600 sqft,35000,aditya empress towers shaikpet,177.77777777777777
81,2 BHK Apartment,1,Unfurnished,Bachelors/Family,800 sqft,10000,attapur,88.88888888888889
82,3 BHK Apartment,2,Unfurnished,Bachelors,1360 sqft,14000,balaji hills colony,151.11111111111111
83,2 BHK Apartment,1,Furnished,Bachelors,1200 sqft,29000,green space hill park manikonda outer ring road,133.33333333333334
84,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1200 sqft,17000,puppalaguda,133.33333333333334
85,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1580 sqft,16000,gk pride yapral,175.55555555555554
86,2 BHK Builder Floor,Garden/Park,Unfurnished,Bachelors,900 sqft,15000,mehdipatnam,100.0
87,3 BHK Apartment,2,Unfurnished,Bachelors,1230 sqft,17000,nizampet,136.66666666666666
88,2 BHK Builder Floor,North,Semi-Furnished,Bachelors,1050 sqft,18000,kavadiguda nh,116.66666666666667
89,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1265 sqft,9000,gundlapochampally outer ring road,140.55555555555554
90,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,16000,east marredpally,166.66666666666666
91,3 BHK Apartment,2,Semi-Furnished,Family,1400 sqft,21000,silicon ridge attapur,155.55555555555554
92,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1550 sqft,13000,gks habitat royale yapral,172.22222222222223
93,2 BHK Builder Floor,1,Semi-Furnished,Family,1100 sqft,17000,attapur,122.22222222222223
94,2 BHK Penthouse,2,Furnished,Bachelors,970 sqft,17000,green space residency gajularamaram,107.77777777777777
95,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1650 sqft,40000,lacasa k apartments banjara hills nh,183.33333333333334
96,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1630 sqft,30000,gopanapalli,181.11111111111111
97,3 BHK Apartment,1,Semi-Furnished,Bachelors,1738 sqft,48000,kondapur,193.11111111111111
98,3 BHK Apartment,1,Unfurnished,Bachelors,1834 sqft,40000,my home avatar narsingi outer ring road,203.77777777777777
100,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1250 sqft,18000,golden heights colony janachaitanya colony hyderabad expressway,138.88888888888889
101,2 BHK Apartment,1,Semi-Furnished,Family,1314 sqft,30000,my home avatar narsingi outer ring road,146.0
102,3 BHK Apartment,3,Semi-Furnished,Family,3250 sqft,36000,floatilla manikonda outer ring road,361.1111111111111
103,4 BHK Apartment,1,Semi-Furnished,Family,2200 sqft,50000,ashoka liviano gachibowli outer ring road,244.44444444444446
104,3 BHK Apartment,1,Semi-Furnished,Bachelors,1360 sqft,15000,modi emerald heights pocharam nh,151.11111111111111
105,3 BHK Service Apartment,1,Furnished,Bachelors,1460 sqft,30000,shamshabad,162.22222222222223
106,3 BHK Apartment,2,Unfurnished,Bachelors,1150 sqft,18000,royal colonyram bagh colony,127.77777777777777
107,3 BHK Apartment,2,Semi-Furnished,Family,2000 sqft,25000,anjaneyanagar colony boduppal,222.22222222222223
108,2 BHK Builder Floor,1,Unfurnished,Family,900 sqft,9500,bairagiguda,100.0
109,3 BHK Apartment,3,Semi-Furnished,Family,1600 sqft,27000,west marredpally,177.77777777777777
111,3 BHK Builder Floor,1,Furnished,Bachelors,1369 sqft,45000,masab tank,152.11111111111111
112,3 BHK Apartment,4,Semi-Furnished,Bachelors/Family,2580 sqft,48000,whitefields,286.6666666666667
113,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2259 sqft,45000,lodha meridian kukatpally housing board colony nh,251.0
114,3 BHK Apartment,3,Semi-Furnished,Family,1800 sqft,32000,khairatabad nh,200.0
115,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1314 sqft,33000,my home avatar my home avatar,146.0
116,2 BHK Apartment,1,Unfurnished,Bachelors/Family,890 sqft,8000,medipally,98.88888888888889
117,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1843 sqft,40000,my home avatar narsingi outer ring road,204.77777777777777
118,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1650 sqft,25000,old nallakunta new nallakunta,183.33333333333334
119,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1200 sqft,12000,paramount residency nagaram,133.33333333333334
121,3 BHK Apartment,2,Furnished,Bachelors/Family,1100 sqft,13000,janapriya lakefront sainikpuri,122.22222222222223
122,3 BHK Apartment,2,Semi-Furnished,Family,2000 sqft,25000,suchitra circle,222.22222222222223
123,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2540 sqft,38000,ncc urban one narsingi outer ring road,282.22222222222223
124,2 BHK Apartment,2,Semi-Furnished,Bachelors,1150 sqft,16000,gandhi nagar kavadiguda nh,127.77777777777777
125,2 BHK Builder Floor,1,Unfurnished,Bachelors/Family,1250 sqft,10500,beeramguda ramachandra puram nh,138.88888888888889
126,3 BHK Builder Floor,North - East,Furnished,Bachelors/Family,2200 sqft,40000,gachibowli phase,244.44444444444446
127,2 BHK Apartment,Main Road,Furnished,Bachelors/Family,1120 sqft,19000,basheer bagh nh,124.44444444444444
128,3 BHK Apartment,East,Semi-Furnished,Family,1608 sqft,20000,manchirevula outer ring road,178.66666666666666
129,3 BHK Apartment,2,Furnished,Bachelors/Family,2000 sqft,20000,osman nagar,222.22222222222223
130,2 BHK Apartment,1,Semi-Furnished,Family,1200 sqft,26000,ameerpet nh,133.33333333333334
131,2 BHK Apartment,2,Unfurnished,Bachelors,1000 sqft,20000,bandari layout,111.11111111111111
132,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1100 sqft,18500,al hasnath colony toli chowki,122.22222222222223
133,2 BHK Apartment,1,Unfurnished,Bachelors,950 sqft,35000,shaikpet,105.55555555555556
134,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1900 sqft,40000,ncl sindhu dandamudi enclave jeedimetla,211.11111111111111
135,3 BHK Apartment,East,Furnished,Family,2045 sqft,30000,shaikpet,227.22222222222223
136,3 BHK Apartment,2,Furnished,Bachelors/Family,1800 sqft,40000,nallagandla serilingampally,200.0
137,3 BHK Apartment,1,Semi-Furnished,Family,1368 sqft,21000,gajularamaram,152.0
139,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1500 sqft,32500,kukatpally housing board colony nh,166.66666666666666
140,3 BHK Apartment,2,Semi-Furnished,Bachelors,1450 sqft,32000,kavuri hills madhapur,161.11111111111111
141,3 BHK Apartment,2,Furnished,Bachelors/Family,2347 sqft,45000,smr vinay iconia kondapur,260.77777777777777
142,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2800 sqft,45000,trendset winz gachibowli outer ring road,311.1111111111111
143,3 BHK Apartment,1,Semi-Furnished,Family,1650 sqft,40000,gachibowli outer ring road,183.33333333333334
144,3 BHK Apartment,2,Unfurnished,Bachelors,1865 sqft,31500,indu fortune fields apartments hitech city,207.22222222222223
145,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2200 sqft,24000,old malakpet nh,244.44444444444446
146,3 BHK Apartment,2,Semi-Furnished,Family,3000 sqft,45000,hafeezpet nh,333.3333333333333
147,2 BHK Apartment,2,Semi-Furnished,Bachelors,1000 sqft,13000,temple alwal secunderabad siddipet road,111.11111111111111
148,2 BHK Apartment,1,Unfurnished,Bachelors,1300 sqft,20000,punjagutta nh,144.44444444444446
149,2 BHK Service Apartment,2,Furnished,Family,1300 sqft,18000,samatha nagar kukatpally nh,144.44444444444446
150,3 BHK Apartment,1,Furnished,Family,1375 sqft,45000,lanco hills manikonda outer ring road,152.77777777777777
151,3 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1800 sqft,20000,narsingi outer ring road,200.0
152,3 BHK Builder Floor,North,Semi-Furnished,Bachelors,2000 sqft,36000,domalguda himayath nagar nh,222.22222222222223
153,3 BHK Apartment,2,Semi-Furnished,Family,1600 sqft,22000,ncl ganga kompally,177.77777777777777
154,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,2100 sqft,23000,pragathi nagarramanthpur nh,233.33333333333334
155,3 BHK Apartment,3,Semi-Furnished,Family,1789 sqft,15500,saket secunderabad,198.77777777777777
156,3 BHK Builder Floor,1,Unfurnished,Family,1450 sqft,12000,sainikpuri,161.11111111111111
157,4 BHK Apartment,3,Semi-Furnished,Bachelors,3380 sqft,45000,ncc urban one narsingi outer ring road,375.55555555555554
158,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,2000 sqft,35000,lakdikapul nh,222.22222222222223
159,2 BHK Builder Floor,3,Unfurnished,Bachelors,1100 sqft,15000,vidya nagar,122.22222222222223
160,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1690 sqft,32000,aparna hillpark gardenia chandanagar nh,187.77777777777777
161,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1750 sqft,22000,kalyan puri secunderabad,194.44444444444446
162,2 BHK Apartment,3,Furnished,Bachelors,1050 sqft,27000,nehru nagarwest marredpally,116.66666666666667
163,2 BHK Builder Floor,Main Road,Unfurnished,Bachelors/Family,800 sqft,10000,sangareddy district,88.88888888888889
164,2 BHK Apartment,1,Furnished,Bachelors,1070 sqft,22000,samata colony toli chowki,118.88888888888889
165,3 BHK Apartment,1,Semi-Furnished,Family,1252 sqft,12000,dammaiguda,139.11111111111111
166,3 BHK Apartment,3,Semi-Furnished,Bachelors,1150 sqft,16000,tilak nagar new nallakunta nh,127.77777777777777
167,3 BHK Apartment,West,Semi-Furnished,Bachelors/Family,2400 sqft,22000,tellapur outer ring road,266.6666666666667
168,3 BHK Apartment,2,Furnished,Bachelors/Family,1590 sqft,39000,aditya imperial heights hafeezpet nh,176.66666666666666
169,3 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1700 sqft,18000,karwan sahu,188.88888888888889
170,3 BHK Apartment,3,Furnished,Family,1550 sqft,50000,new mallepally,172.22222222222223
171,2 BHK Apartment,1,Unfurnished,Bachelors,1314 sqft,33000,my home avatar narsingi outer ring road,146.0
172,3 BHK Apartment,2,Semi-Furnished,Family,1000 sqft,18500,mayur marg,111.11111111111111
173,3 BHK Apartment,3,Furnished,Bachelors/Family,1950 sqft,48000,nanakram guda,216.66666666666666
174,4 BHK Builder Floor,East,Semi-Furnished,Bachelors/Family,4000 sqft,25000,saptagiri colony kukatpally nh,444.44444444444446
176,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1000 sqft,14000,dilsukh nagar nh,111.11111111111111
177,3 BHK Builder Floor,3,Unfurnished,Bachelors/Family,1630 sqft,20000,alkapuri lb nagar nh,181.11111111111111
178,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,1050 sqft,27000,madhapur,116.66666666666667
179,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,915 sqft,15000,vidyanagar adikmet,101.66666666666667
180,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,14000,champapet koti,133.33333333333334
181,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1144 sqft,16500,nirmala ratna apartment gangaram chandanagar nh,127.11111111111111
182,3 BHK Apartment,1,Semi-Furnished,Family,1660 sqft,29000,moti nagarerragadda nh,184.44444444444446
183,3 BHK Apartment,2,Furnished,Bachelors/Family,1198 sqft,40000,mantri celestia gachibowli outer ring road,133.11111111111111
184,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1200 sqft,17500,masab tank,133.33333333333334
185,3 BHK Apartment,2,Semi-Furnished,Family,1655 sqft,16000,hyder nagar nh,183.88888888888889
186,3 BHK Apartment,1,Semi-Furnished,Bachelors,2000 sqft,30000,khaja guda outer ring road,222.22222222222223
187,3 BHK Apartment,3,Semi-Furnished,Family,2003 sqft,25000,pearl celestial kokapet outer ring road,222.55555555555554
188,3 BHK Apartment,2,Semi-Furnished,Bachelors,1600 sqft,24000,vertex pleasant kukatpally nh,177.77777777777777
189,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,2500 sqft,35000,banjara hills nh,277.77777777777777
190,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2000 sqft,40000,kavuri hills madhapur,222.22222222222223
192,3 BHK Apartment,2,Furnished,Bachelors/Family,1570 sqft,22000,daisy classic kukatpally nh,174.44444444444446
193,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1380 sqft,23000,smr vinay harmony county appa junction,153.33333333333334
194,5 BHK Apartment,2,Semi-Furnished,Bachelors/Family,4000 sqft,40000,my nest mahati kondapur,444.44444444444446
195,3 BHK Apartment,2,Semi-Furnished,Family,1800 sqft,27000,de lite power welfare society narsingi outer ring road,200.0
196,2 BHK Builder Floor,1,Unfurnished,Bachelors/Family,1095 sqft,12500,gajularamaram,121.66666666666667
197,2 BHK Apartment,1,Unfurnished,Bachelors,150 sqyrd,12500,sun city bandlaguda chevella road,150.0
198,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1000 sqft,12000,gudimalkapur,111.11111111111111
199,3 BHK Apartment,West,Furnished,Family,1260 sqft,18000,tarnaka,140.0
200,3 BHK Apartment,,Bachelors/Family,3,1800 sqft,25000,appa junction,200.0
201,3 BHK Apartment,2,Furnished,Bachelors,1610 sqft,25000,raghuram a,178.88888888888889
202,3 BHK Apartment,2,Unfurnished,Bachelors,1495 sqft,23000,smr vinay city miyapur nh,166.11111111111111
203,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1300 sqft,16000,nizampet,144.44444444444446
204,3 BHK Apartment,3,Semi-Furnished,Family,2600 sqft,38000,yousufguda nh,288.8888888888889
205,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1265 sqft,18500,chandanagar nh,140.55555555555554
206,3 BHK Apartment,1,Unfurnished,Bachelors,2285 sqft,50000,lumbini avenue gachibowli outer ring road,253.88888888888889
207,3 BHK Apartment,Immediately,Furnished,Family,1425 sqft,22000,kokapet outer ring road,158.33333333333334
208,3 BHK Apartment,3,Semi-Furnished,Bachelors,2200 sqft,31000,kothaguda,244.44444444444446
209,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1840 sqft,38000,gachibowli cuc outer ring road,204.44444444444446
210,3 BHK Apartment,,Bachelors/Family,3,1525 sqft,25000,hafeezpet nh,169.44444444444446
212,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1250 sqft,16500,attapur,138.88888888888889
215,3 BHK Apartment,2,Furnished,Bachelors/Family,2259 sqft,50000,lodha meridian k p h b phase,251.0
216,2 BHK Apartment,1,Furnished,Bachelors/Family,1365 sqft,36000,magnam opus gachibowli outer ring road,151.66666666666666
217,2 BHK Apartment,1,Semi-Furnished,Family,1314 sqft,30000,my home avatar narsingi outer ring road,146.0
218,3 BHK Apartment,2,Semi-Furnished,Family,1925 sqft,32000,smr vinay fountainhead hyderabad,213.88888888888889
219,2 BHK Apartment,East,Semi-Furnished,Family,800 sqft,10000,bagh amberpet amberpet nh,88.88888888888889
220,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1400 sqft,16000,attapur,155.55555555555554
221,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1600 sqft,19000,aakriti honey dew tellapur outer ring road,177.77777777777777
222,3 BHK Apartment,East,Semi-Furnished,Family,1500 sqft,17500,kukatpally nh,166.66666666666666
223,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1800 sqft,20000,hill county township bachupally outer ring road,200.0
224,2 BHK Apartment,1,Unfurnished,Bachelors/Family,810 sqft,13000,serilingampally,90.0
225,2 BHK Apartment,2,Semi-Furnished,Family,1450 sqft,26000,project golden habitat madhapur,161.11111111111111
226,3 BHK Apartment,3,Semi-Furnished,Family,2192 sqft,40000,western exotica project  kothaguda,243.55555555555554
227,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1800 sqft,26000,aditya imperial heights hafeezpet nh,200.0
228,3 BHK Apartment,1,Furnished,Bachelors/Family,1400 sqft,18000,haripuri colony,155.55555555555554
229,2 BHK Apartment,1,Unfurnished,Bachelors,768 sqft,15000,manikonda outer ring road,85.33333333333333
230,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1700 sqft,15000,aminpur,188.88888888888889
231,4 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2800 sqft,50000,banjara hills nh,311.1111111111111
232,3 BHK Apartment,3,Semi-Furnished,Bachelors,1740 sqft,18000,apseb colony hastinapuram,193.33333333333334
233,3 BHK Apartment,3,Semi-Furnished,Family,1575 sqft,18000,silver spring narsingi outer ring road,175.0
234,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1250 sqft,10000,bachupally outer ring road,138.88888888888889
235,2 BHK Builder Floor,1,Semi-Furnished,Bachelors,1100 sqft,13000,attapur,122.22222222222223
236,2 BHK Apartment,2,Unfurnished,Bachelors,1800 sqft,25000,bhavyas akhila exotica kukatpally nh,200.0
237,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1700 sqft,15000,sri mahalakshmi residency attapur,188.88888888888889
238,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,850 sqft,18000,lakdikapul nh,94.44444444444444
239,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1650 sqft,24000,sri nainas sunrise manikonda outer ring road,183.33333333333334
240,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1200 sqft,17000,balkampet,133.33333333333334
241,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1000 sqft,16500,puppalaguda,111.11111111111111
242,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2192 sqft,45000,western exotica project  kothaguda,243.55555555555554
243,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1525 sqft,23000,apgos coop hsg society hafeezpet,169.44444444444446
244,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1150 sqft,14000,toli chowki,127.77777777777777
245,3 BHK Apartment,3,Semi-Furnished,Bachelors,1775 sqft,23000,hyderagudaattapur,197.22222222222223
246,3 BHK Apartment,2,Unfurnished,Bachelors,1490 sqft,25000,infocity excellence and elegance nallagandla serilingampally,165.55555555555554
247,3 BHK Apartment,2,Semi-Furnished,Bachelors,1450 sqft,25000,mehdipatnam,161.11111111111111
248,3 BHK Apartment,2,Semi-Furnished,Bachelors,1200 sqft,15000,aparna kanopy tulip kompally,133.33333333333334
249,3 BHK Apartment,North,Semi-Furnished,Bachelors/Family,1870 sqft,35000,sumukhi orbit madhapur,207.77777777777777
250,3 BHK Apartment,1,Semi-Furnished,Family,1756 sqft,34000,project hill ridge springs gachibowli outer ring road,195.11111111111111
251,3 BHK Apartment,1,Unfurnished,Bachelors,1500 sqft,26000,gayatri hills jubilee hills,166.66666666666666
252,3 BHK Apartment,1,Furnished,Bachelors/Family,1360 sqft,15000,emerald heights nizampet,151.11111111111111
253,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1160 sqft,16000,new dilshukh nagar nh,128.88888888888889
254,3 BHK Apartment,2,Unfurnished,Family,1450 sqft,14000,maruthi nagar,161.11111111111111
255,2 BHK Apartment,1,Unfurnished,Bachelors,950 sqft,10000,hayathnagar nh,105.55555555555556
